,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
720,42991,3103.0,5.0,4x4,1950.0,Manual,2019.0,Mercedes-Benz,GLC
731,14658,22212.0,5.0,4x4,1498.0,Manual,2018.0,Ford,Kuga
732,9995,43000.0,5.0,4x4,1997.0,Manual,2012.0,Ford,Kuga
733,18000,17449.0,5.0,4x4,1997.0,Manual,2017.0,Ford,Kuga
734,14690,4918.0,5.0,4x4,1498.0,Manual,2018.0,Ford,Kuga
735,16995,14055.0,5.0,4x4,1997.0,Automatic,2018.0,Ford,Kuga
736,14500,22007.0,5.0,4x4,1997.0,Manual,2017.0,Ford,Kuga
737,17329,5307.0,5.0,4x4,1499.0,Manual,2017.0,Ford,Kuga
738,23700,15106.0,5.0,4x4,1498.0,Automatic,2019.0,Ford,Kuga
739,17375,6880.0,5.0,4x4,1997.0,Manual,2018.0,Ford,Kuga
740,22999,4139.0,5.0,4x4,2000.0,Automatic,2019.0,Ford,Kuga
741,24995,2081.0,5.0,4x4,1498.0,Manual,2019.0,Honda,CR-V
742,17990,15771.0,5.0,4x4,1997.0,Automatic,2017.0,Honda,CR-V
743,12995,48974.0,5.0,4x4,1597.0,Manual,2017.0,Honda,CR-V
744,26395,7199.0,5.0,4x4,1498.0,Manual,2019.0,Honda,CR-V
745,11500,50675.0,5.0,4x4,1597.0,Manual,2015.0,Honda,CR-V
746,14999,32610.0,5.0,4x4,1597.0,Manual,2017.0,Honda,CR-V
747,14649,29200.0,5.0,4x4,1997.0,Manual,2017.0,Honda,CR-V
748,27938,7942.0,5.0,4x4,1498.0,Manual,2019.0,Honda,CR-V
749,25455,13193.0,5.0,4x4,1498.0,Manual,2019.0,Honda,CR-V
750,19965,8026.0,5.0,4x4,1997.0,Automatic,2018.0,Honda,CR-V
751,31100,4000.0,5.0,4x4,1498.0,Manual,2020.0,Audi,Q3
752,33800,6310.0,5.0,4x4,1984.0,Manual,2019.0,Audi,Q5
753,42990,22500.0,5.0,4x4,2967.0,Automatic,2018.0,Audi,Q7
754,29950,7500.0,5.0,4x4,1968.0,Manual,2020.0,Audi,Q3
755,30408,4050.0,5.0,4x4,1968.0,Manual,2020.0,Audi,Q3
756,20000,42991.0,5.0,4x4,1968.0,Automatic,2015.0,Audi,Q5
757,28347,2915.0,5.0,4x4,1968.0,Manual,2020.0,Audi,Q3
758,14800,33855.0,5.0,4x4,1968.0,Manual,2015.0,Audi,Q3
759,20490,7411.0,5.0,4x4,1598.0,Manual,2019.0,Audi,Q2
760,17499,18269.0,5.0,4x4,999.0,Manual,2018.0,Audi,Q2
761,64995,750.0,5.0,4x4,2998.0,Automatic,2020.0,BMW,X6
762,14999,72000.0,5.0,4x4,1995.0,Manual,2017.0,BMW,X1
763,25800,60885.0,5.0,4x4,2993.0,Automatic,2017.0,BMW,X5
764,11495,75333.0,5.0,4x4,3000.0,Automatic,2008.0,BMW,X5
765,27727,4747.0,5.0,4x4,1995.0,Automatic,2020.0,BMW,X1
767,38990,1501.0,5.0,4x4,1995.0,Automatic,2019.0,BMW,X3
768,12495,87889.0,5.0,4x4,1995.0,Automatic,2012.0,BMW,X3
769,66991,1896.0,5.0,4x4,2993.0,Automatic,2020.0,BMW,X3
770,65440,1007.0,5.0,4x4,2993.0,Automatic,2020.0,BMW,X5
771,54972,12312.0,5.0,4x4,2925.0,Manual,2019.0,Mercedes-Benz,GLE
773,29280,19640.0,5.0,4x4,2143.0,Manual,2016.0,Mercedes-Benz,GLC
774,47600,5878.0,5.0,4x4,1950.0,Manual,2019.0,Mercedes-Benz,GLE
776,32480,15825.0,5.0,4x4,2143.0,Manual,2018.0,Mercedes-Benz,GLE
777,35389,4934.0,5.0,4x4,1950.0,Manual,2020.0,Mercedes-Benz,GLC
778,26500,22250.0,5.0,4x4,2143.0,Automatic,2017.0,Mercedes-Benz,GLC
779,37480,30624.0,5.0,4x4,2987.0,Manual,2017.0,Mercedes-Benz,GL
780,26700,18427.0,5.0,4x4,2143.0,Automatic,2018.0,Mercedes-Benz,GLC
791,19947,13432.0,5.0,4x4,1997.0,Manual,2018.0,Ford,Kuga
792,15000,21889.0,5.0,4x4,1498.0,Automatic,2015.0,Ford,Kuga
793,15942,10694.0,5.0,4x4,1997.0,Manual,2018.0,Ford,Kuga
794,15203,16605.0,5.0,4x4,1499.0,Manual,2018.0,Ford,Kuga
795,13399,26512.0,5.0,4x4,1500.0,Manual,2017.0,Ford,Kuga
796,29100,9131.0,5.0,4x4,1995.0,Automatic,2019.0,Ford,Edge
797,17000,29530.0,5.0,4x4,1997.0,Manual,2017.0,Ford,Kuga
798,13000,24245.0,5.0,4x4,1498.0,Manual,2017.0,Ford,Kuga
799,13500,45694.0,5.0,4x4,1997.0,Manual,2015.0,Ford,Kuga
800,9000,54643.0,5.0,4x4,1997.0,Manual,2014.0,Ford,Kuga
801,4775,74244.0,5.0,4x4,2204.0,Manual,2009.0,Honda,CR-V
802,13899,41322.0,5.0,4x4,1997.0,Manual,2015.0,Honda,CR-V
803,24565,18862.0,5.0,4x4,1498.0,Manual,2018.0,Honda,CR-V
804,34995,10.0,5.0,4x4,1498.0,Manual,2020.0,Honda,CR-V
805,7695,57433.0,5.0,4x4,1997.0,Automatic,2009.0,Honda,CR-V
806,18990,23067.0,5.0,4x4,1997.0,Manual,2017.0,Honda,CR-V
807,7850,41486.0,5.0,4x4,2199.0,Manual,2012.0,Honda,CR-V
808,17489,18070.0,5.0,4x4,2000.0,Automatic,2017.0,Honda,CR-V
809,13499,48159.0,5.0,4x4,1597.0,Manual,2016.0,Honda,CR-V
810,19990,18470.0,5.0,4x4,1597.0,Automatic,2017.0,Honda,CR-V
811,59995,15000.0,5.0,Estate,4000.0,Automatic,2017.0,Audi,RS6
812,28995,43169.0,5.0,Estate,2995.0,Automatic,2017.0,Audi,S4
813,16000,55518.0,5.0,Estate,1968.0,Automatic,2015.0,Audi,A6
814,8595,73584.0,5.0,Estate,1968.0,Manual,2013.0,Audi,A4
815,16200,44367.0,5.0,Estate,1968.0,Manual,2016.0,Audi,Q3
816,5995,111000.0,5.0,Estate,1968.0,Manual,2010.0,Audi,A6
818,18498,35556.0,5.0,Estate,1968.0,Manual,2016.0,Audi,Q3
819,20995,57693.0,5.0,Estate,2967.0,Automatic,2014.0,Audi,Q5
820,16750,80354.0,5.0,Estate,1968.0,Automatic,2017.0,Audi,A4
821,10995,109000.0,5.0,Estate,1995.0,Automatic,2013.0,BMW,5
822,30400,21974.0,5.0,Estate,2993.0,Automatic,2018.0,BMW,5
823,25950,40000.0,5.0,Estate,1995.0,Automatic,2015.0,BMW,X5
824,11995,95000.0,5.0,Estate,1995.0,Automatic,2014.0,BMW,5
825,5995,115000.0,5.0,Estate,1995.0,Automatic,2010.0,BMW,5
826,14990,66000.0,5.0,Estate,1995.0,Automatic,2016.0,BMW,3
827,11950,37085.0,5.0,Estate,1995.0,Manual,2014.0,BMW,X1
828,16750,35059.0,5.0,Estate,1995.0,Automatic,2016.0,BMW,5
829,15500,16013.0,5.0,Estate,1995.0,Manual,2017.0,BMW,X1
830,25990,29230.0,5.0,Estate,3000.0,Automatic,2017.0,BMW,X3
832,10898,73287.0,5.0,Estate,1598.0,Manual,2015.0,Mercedes-Benz,C
833,25999,2228.0,5.0,Estate,1600.0,Automatic,2019.0,Mercedes-Benz,C
835,23998,33563.0,5.0,Estate,2143.0,Automatic,2016.0,Mercedes-Benz,GLC
836,40280,8472.0,5.0,Estate,2900.0,Automatic,2019.0,Mercedes-Benz,E
837,22400,9868.0,5.0,Estate,2000.0,Automatic,2018.0,Mercedes-Benz,C
838,19199,19670.0,5.0,Estate,1991.0,Automatic,2017.0,Mercedes-Benz,C
839,27495,37700.0,5.0,Estate,2100.0,Automatic,2017.0,Mercedes-Benz,GLE
